system:index,date,mean_temp_K,total_precip_mm,.geo
19860101,1986-01-01,283.1808078617455,0.17356751066364756,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860102,1986-01-02,284.12882200153376,0.48969837717657405,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860103,1986-01-03,285.75396432275386,0.37338693884784124,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860104,1986-01-04,287.0369972460523,2.27522165586124,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860105,1986-01-05,281.816229600292,0.07814493604426723,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860106,1986-01-06,280.7671848507757,0.6133183893491923,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860107,1986-01-07,283.70562957439745,3.0667940291851186,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860108,1986-01-08,278.790666716468,6.579199717113661,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860109,1986-01-09,277.3817769867093,3.971220745915066,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860110,1986-01-10,279.50983354102215,6.4581253775014344,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860111,1986-01-11,281.1709042477654,0.25849126971233904,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860112,1986-01-12,282.3963383886504,0.002193746902068746,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860113,1986-01-13,282.9849060616379,8.464496790508083E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860114,1986-01-14,282.96438178546725,4.351138045421976E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860115,1986-01-15,285.5621377699802,0.001687608989703125,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860116,1986-01-16,287.7131806925696,1.1325885822289237,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860117,1986-01-17,288.6139451158422,7.833272283886217,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860118,1986-01-18,288.52351248524474,2.7833245588205724,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860119,1986-01-19,287.8510804905738,0.07846793896544994,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860120,1986-01-20,287.8198217910896,9.466314827004116E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860121,1986-01-21,290.35249923963124,0.020393737744917914,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860122,1986-01-22,289.02016875457167,0.614579101735412,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860123,1986-01-23,284.79154059536546,0.2502355964420599,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860124,1986-01-24,286.37482140563253,0.1570476029182807,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860125,1986-01-25,288.5550256756799,4.8990227583251675,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860126,1986-01-26,284.1329473915323,0.2028013495107336,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860127,1986-01-27,280.1701156234697,4.3347412723941203E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860128,1986-01-28,281.9750189872414,9.117210652272398E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860129,1986-01-29,289.053929426296,0.10400215106102839,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860130,1986-01-30,287.9980845003824,0.19562128613193966,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860131,1986-01-31,289.6731667265167,0.18902282958624378,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860201,1986-02-01,291.6970320744755,0.551301174813035,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860202,1986-02-02,292.2387107369988,0.9720917871383091,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860203,1986-02-03,292.22665508016985,14.290036607361088,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860204,1986-02-04,291.90806101470145,15.552060661723399,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860205,1986-02-05,290.4696449605544,5.654652645013493,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860206,1986-02-06,287.95549260856893,3.1173286904156625,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860207,1986-02-07,286.648891668358,0.14086282824570656,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860208,1986-02-08,286.7877854640222,2.39554819516691,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860209,1986-02-09,283.23566547625114,2.8010126391573205,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860210,1986-02-10,281.5506256302119,3.423068647331613,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860211,1986-02-11,276.86288121909394,0.08418326890731281,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860212,1986-02-12,276.46541302181123,0.10048161436255479,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860213,1986-02-13,279.1913545802365,0.7202202612561872,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860214,1986-02-14,287.1524701515897,2.0832919867564983,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860215,1986-02-15,285.29502041137664,0.16566802474035106,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860216,1986-02-16,290.47376860808544,0.5255367375779275,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860217,1986-02-17,293.33403415418303,1.0137285691072977,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860218,1986-02-18,293.45106921905,0.5351735117796979,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860219,1986-02-19,294.8022437633672,0.0497425779160882,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860220,1986-02-20,294.73685980102437,0.0927607904065153,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860221,1986-02-21,291.30989801394134,0.10791522405893472,"{""type"":""MultiPoint"",""coordinates"":[]}"
