system:index,date,mean_temp_K,total_precip_mm,.geo
19860101,1986-01-01,276.7348723739443,0.0012993811537853617,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860102,1986-01-02,278.83633059811433,8.531947059964295E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860103,1986-01-03,278.04615244304307,8.597435225965455E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860104,1986-01-04,275.80673073688337,0.0018170413893485173,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860105,1986-01-05,272.7016456307464,8.554718073372216E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860106,1986-01-06,274.77489824752314,0.012615896852676068,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860107,1986-01-07,269.41641178973947,0.07826199989959953,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860108,1986-01-08,270.95789010237917,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860109,1986-01-09,274.65173800659755,8.642728630547936E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860110,1986-01-10,276.6132894172268,0.18458218410905675,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860111,1986-01-11,278.9645675425551,-5.572626800695144E-7,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860112,1986-01-12,279.1988999969452,0.002141011748335586,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860113,1986-01-13,278.16998485787695,8.463858875984442E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860114,1986-01-14,279.23725969845685,4.351138045421976E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860115,1986-01-15,279.37043123354795,8.52346317969932E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860116,1986-01-16,283.16509408476065,0.002574146492406726,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860117,1986-01-17,281.9823145100958,0.0021512681200874795,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860118,1986-01-18,281.4311790371762,0.05203863912797914,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860119,1986-01-19,281.53900106394525,8.583068620282575E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860120,1986-01-20,284.35850910140425,8.591484750297695E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860121,1986-01-21,283.95173791909616,0.0012904404798064206,"{""type"":""MultiPoint"",""coordinates"":[]}"
19860122,1986-01-22,275.18388670588104,4.410743663640915E-4,"{""type"":""MultiPoint"",""coordinates"":[]}"
