date,time,status_of_system,latitude,longitude,maximum_sustained_wind_knots,central_pressure_mb
1986-06-05,0,SD,26.2N,75.8W,30,1007
1986-06-05,600,SD,27.4N,76.0W,30,1006
1986-06-05,1200,SD,28.4N,76.4W,30,1005
1986-06-05,1800,SD,29.1N,77.0W,30,1003
1986-06-06,0,TS,29.7N,77.5W,35,1002
1986-06-06,600,TS,30.2N,77.8W,40,1003
1986-06-06,1200,TS,30.7N,78.0W,45,1005
1986-06-06,1800,TS,31.4N,77.9W,45,1004
1986-06-07,0,TS,31.9N,77.8W,45,1003
1986-06-07,600,TS,32.8N,76.9W,45,1001
1986-06-07,1200,TS,33.6N,76.0W,45,999
1986-06-07,1800,TS,34.3N,75.0W,45,1000
1986-06-08,0,TS,35.2N,73.9W,45,1002
1986-06-08,600,TS,36.3N,72.7W,45,1002
1986-06-08,1200,TS,37.9N,71.0W,40,1002
1986-06-08,1800,TS,39.6N,68.9W,35,1001
1986-06-23,1800,TD,25.6N,87.2W,25,1014
1986-06-24,0,TD,25.7N,87.8W,25,1013
1986-06-24,600,TD,26.0N,88.4W,25,1014
1986-06-24,1200,TD,26.4N,88.9W,30,1011
1986-06-24,1800,TS,26.6N,89.5W,40,1006
1986-06-25,0,TS,26.7N,90.3W,45,1001
1986-06-25,600,TS,26.8N,91.0W,50,1002
1986-06-25,1200,TS,27.2N,91.7W,55,997
1986-06-25,1800,HU,27.7N,92.2W,65,1001
1986-06-26,0,HU,28.2N,92.9W,70,999
1986-06-26,600,HU,29.0N,93.7W,75,995
1986-06-26,1000,HU,29.6N,94.2W,75,990
1986-06-26,1200,HU,29.9N,94.3W,65,992
1986-06-26,1800,TS,30.9N,94.7W,35,1000
1986-06-27,0,TD,31.8N,94.7W,30,1009
1986-06-27,600,TD,32.8N,94.7W,25,1015
1986-06-27,1200,TD,33.9N,94.3W,20,1016
1986-06-27,1800,TD,34.8N,93.5W,20,1016
1986-06-28,0,TD,35.6N,92.5W,15,1014
1986-06-28,600,TD,36.5N,91.3W,10,1013
1986-06-28,1200,TD,37.2N,90.0W,10,1012
1986-07-23,1200,TD,24.0N,54.9W,20,-999
1986-07-23,1800,TD,24.3N,56.1W,20,-999
1986-07-24,0,TD,24.6N,57.5W,20,-999
1986-07-24,600,TD,24.8N,58.9W,25,-999
1986-07-24,1200,TD,25.0N,60.0W,25,-999
1986-07-24,1800,TD,25.5N,61.0W,25,-999
1986-07-25,0,TD,26.0N,61.8W,25,-999
1986-07-25,600,TD,26.4N,62.3W,25,-999
1986-07-25,1200,TD,27.0N,63.0W,25,-999
1986-07-25,1800,TD,27.9N,63.8W,30,-999
1986-07-26,0,TD,28.5N,64.2W,30,-999
1986-07-26,600,TD,29.4N,64.9W,30,-999
1986-07-26,1200,TD,30.0N,65.5W,30,-999
1986-07-26,1800,TD,31.2N,65.3W,25,-999
1986-07-27,0,TD,32.0N,65.2W,25,-999
1986-07-27,600,TD,33.0N,65.1W,25,-999
1986-07-27,1200,TD,34.0N,65.0W,25,-999
1986-07-27,1800,TD,36.0N,63.9W,25,-999
1986-07-28,0,TD,37.8N,62.5W,20,-999
1986-07-28,600,TD,38.5N,61.0W,20,-999
1986-07-28,1200,TD,41.2N,59.8W,20,-999
1986-08-04,600,TD,24.0N,92.9W,25,-999
1986-08-04,1200,TD,24.3N,93.9W,25,-999
1986-08-04,1800,TD,25.1N,94.5W,30,-999
1986-08-05,0,TD,25.9N,95.2W,30,-999
1986-08-05,600,TD,26.8N,96.0W,30,-999
1986-08-05,1200,TD,27.2N,97.0W,25,-999
1986-08-05,1800,TD,28.0N,97.8W,-99,-999
1986-08-13,1200,SD,30.1N,84.0W,10,1009
1986-08-13,1800,SD,30.8N,84.0W,10,1012
1986-08-14,0,SD,31.4N,83.6W,10,1013
1986-08-14,600,SD,32.0N,83.1W,10,1014
1986-08-14,1200,SD,32.5N,82.5W,10,1015
1986-08-14,1800,SD,32.4N,82.0W,10,1015
1986-08-15,0,SD,32.3N,81.2W,15,1013
1986-08-15,600,SD,32.3N,80.0W,15,1013
1986-08-15,1200,TD,32.2N,79.0W,30,1009
1986-08-15,1800,TS,32.2N,78.5W,35,1007
1986-08-16,0,TS,32.3N,78.1W,40,1004
1986-08-16,600,TS,32.4N,77.9W,40,1002
1986-08-16,1200,TS,32.6N,77.6W,45,999
1986-08-16,1800,TS,32.9N,77.4W,50,997
1986-08-17,0,TS,33.2N,77.1W,55,995
1986-08-17,600,TS,33.7N,76.9W,60,993
1986-08-17,1200,HU,34.4N,76.6W,65,991
1986-08-17,1400,HU,34.7N,76.5W,65,990
1986-08-17,1800,HU,35.4N,76.2W,65,988
1986-08-18,0,HU,36.5N,75.8W,70,987
1986-08-18,600,HU,37.4N,75.2W,65,990
1986-08-18,1200,TS,38.2N,74.1W,60,992
1986-08-18,1800,TS,39.0N,72.6W,60,994
1986-08-19,0,TS,39.7N,70.9W,55,997
1986-08-19,600,TS,40.4N,69.1W,50,999
1986-08-19,1200,TS,40.9N,67.5W,45,1000
1986-08-19,1800,TS,41.3N,65.8W,45,1002
1986-08-20,0,TS,41.5N,64.0W,40,1003
1986-08-20,600,TS,41.6N,62.5W,40,1004
1986-08-20,1200,TS,41.7N,60.2W,40,1005
1986-08-20,1800,TS,41.7N,58.4W,40,1005
1986-08-21,0,EX,41.6N,56.6W,40,1000
1986-08-21,600,EX,41.5N,54.8W,40,997
1986-08-21,1200,EX,41.4N,53.2W,40,992
1986-08-21,1800,EX,41.3N,51.2W,45,991
1986-08-22,0,EX,41.3N,49.4W,45,990
1986-08-22,600,EX,41.3N,47.6W,45,989
1986-08-22,1200,EX,41.4N,46.2W,45,989
1986-08-22,1800,EX,41.5N,44.8W,45,989
1986-08-23,0,EX,41.8N,43.2W,45,988
1986-08-23,600,EX,42.3N,41.6W,45,989
1986-08-23,1200,EX,43.0N,39.6W,45,989
1986-08-23,1800,EX,43.9N,37.2W,45,989
1986-08-24,0,EX,44.9N,34.4W,45,990
1986-08-24,600,EX,46.0N,31.6W,40,992
1986-08-24,1200,EX,47.0N,28.8W,40,995
1986-08-24,1800,EX,48.2N,26.0W,40,997
1986-08-25,0,EX,49.2N,21.6W,40,999
1986-08-25,600,EX,50.0N,16.4W,40,1000
1986-08-25,1200,EX,50.7N,11.4W,40,994
1986-08-25,1800,EX,51.4N,7.2W,50,988
1986-08-26,0,EX,52.2N,4.4W,45,981
1986-08-26,600,EX,52.9N,2.0W,45,980
1986-08-26,1200,EX,53.6N,0.0W,45,982
1986-08-26,1800,EX,54.3N,2.0E,45,986
1986-08-27,0,EX,55.0N,3.7E,45,984
1986-08-27,600,EX,55.5N,5.0E,45,983
1986-08-27,1200,EX,56.0N,5.8E,35,985
1986-08-27,1800,EX,56.3N,6.0E,35,989
1986-08-28,0,EX,56.6N,6.0E,35,989
1986-08-28,600,EX,56.8N,6.0E,35,991
1986-08-28,1200,EX,57.0N,6.0E,30,998
1986-08-28,1800,EX,57.0N,5.5E,30,999
1986-08-29,0,EX,57.0N,5.0E,25,1002
1986-08-29,600,EX,56.8N,5.0E,20,1004
1986-08-29,1200,EX,56.5N,5.0E,20,1004
1986-08-29,1800,EX,56.2N,6.0E,15,1004
1986-08-30,0,EX,56.2N,8.0E,15,1006
1986-08-30,1200,TD,12.5N,34.5W,20,-999
1986-08-30,1800,TD,12.8N,35.8W,25,-999
1986-08-31,0,TD,13.0N,37.0W,25,-999
1986-08-31,600,TD,13.2N,38.2W,25,-999
1986-08-31,1200,TD,13.3N,39.5W,25,-999
1986-08-31,1800,TD,13.8N,40.8W,30,-999
1986-09-01,0,TD,14.0N,42.0W,30,-999
1986-09-01,600,TD,14.2N,43.2W,30,-999
1986-09-01,1200,TD,14.5N,44.5W,30,-999
1986-09-01,1800,TD,16.0N,46.0W,30,-999
1986-09-02,0,TD,17.0N,47.0W,30,-999
1986-09-02,600,TD,18.2N,48.2W,30,-999
1986-09-02,1200,TD,19.4N,49.7W,30,-999
1986-09-02,1800,TD,20.8N,50.9W,30,-999
1986-09-03,0,TD,21.9N,52.0W,30,-999
1986-09-03,600,TD,23.0N,53.0W,30,-999
1986-09-03,1200,TD,24.0N,54.0W,25,-999
1986-09-03,1800,TD,26.0N,54.7W,25,-999
1986-09-04,0,TD,27.2N,55.2W,25,-999
1986-09-04,600,TD,29.0N,55.6W,25,-999
1986-09-04,1200,TD,30.8N,56.0W,20,-999
1986-09-01,1200,TD,17.6N,86.2W,20,-999
1986-09-01,1800,TD,18.0N,87.8W,20,-999
1986-09-02,0,TD,18.5N,88.8W,20,-999
1986-09-02,600,TD,19.0N,90.0W,20,-999
1986-09-02,1200,TD,19.2N,91.0W,25,-999
1986-09-02,1800,TD,19.7N,92.0W,25,-999
1986-09-03,0,TD,20.0N,93.0W,25,-999
1986-09-03,600,TD,20.2N,94.0W,30,-999
1986-09-03,1200,TD,20.7N,95.0W,30,-999
1986-09-03,1800,TD,21.1N,96.1W,30,-999
1986-09-04,0,TD,21.8N,97.1W,25,-999
1986-09-04,600,TD,22.1N,98.0W,25,-999
1986-09-04,1200,TD,22.9N,99.0W,-99,-999
1986-09-07,600,TD,10.5N,52.0W,25,1008
1986-09-07,1200,TD,11.0N,54.0W,30,1005
1986-09-07,1800,TS,11.2N,55.8W,35,1003
1986-09-08,0,TS,11.8N,57.5W,45,1000
1986-09-08,600,TS,12.2N,59.4W,50,1000
1986-09-08,1200,TS,12.5N,61.2W,50,1002
1986-09-08,1800,TS,13.0N,63.0W,50,1002
1986-09-09,0,TS,13.4N,64.8W,45,1004
1986-09-09,600,TS,13.8N,66.5W,40,1006
1986-09-09,1200,TS,14.0N,68.5W,35,1008
1986-09-09,1800,TD,14.5N,70.5W,30,1010
1986-09-10,0,TD,14.8N,72.5W,30,1012
1986-09-10,600,TD,14.9N,75.5W,30,1012
1986-09-10,1200,TD,14.8N,78.5W,30,1013
1986-09-10,1800,TD,21.8N,50.8W,30,1010
1986-09-11,0,TS,22.4N,51.6W,35,1009
1986-09-11,600,TS,23.2N,52.3W,45,1006
1986-09-11,1200,TS,24.1N,52.9W,55,1002
1986-09-11,1800,HU,25.0N,53.4W,70,999
1986-09-12,0,HU,25.6N,53.8W,75,996
1986-09-12,600,HU,26.3N,54.3W,80,993
1986-09-12,1200,HU,26.8N,54.8W,85,988
1986-09-12,1800,HU,27.2N,55.4W,90,985
1986-09-13,0,HU,28.1N,55.5W,90,983
1986-09-13,600,HU,28.8N,55.3W,90,983
1986-09-13,1200,HU,29.5N,54.9W,90,983
1986-09-13,1800,HU,30.1N,54.7W,90,983
1986-09-14,0,HU,30.4N,53.8W,90,982
1986-09-14,600,HU,30.5N,53.1W,90,980
1986-09-14,1200,HU,30.6N,52.4W,90,979
1986-09-14,1800,HU,30.6N,51.7W,90,979
1986-09-15,0,HU,30.4N,51.1W,90,980
1986-09-15,600,HU,30.0N,50.6W,90,980
1986-09-15,1200,HU,29.6N,50.1W,90,981
1986-09-15,1800,HU,29.2N,49.6W,85,982
1986-09-16,0,HU,29.0N,49.0W,80,983
1986-09-16,600,HU,28.7N,48.5W,80,983
1986-09-16,1200,HU,29.1N,48.9W,75,984
1986-09-16,1800,HU,29.5N,49.3W,75,984
1986-09-17,0,HU,29.9N,49.9W,75,985
1986-09-17,600,HU,30.6N,50.3W,70,985
1986-09-17,1200,HU,31.4N,50.9W,70,986
1986-09-17,1800,HU,32.6N,50.7W,70,986
1986-09-18,0,HU,34.0N,50.4W,70,987
