date,maximum_sustained_wind_knots,central_pressure_mb,lat,lon,x,y,z,DB,EX,HU,LO,SD,SS,TD,TS,WV
1986-06-05,30.0,1005.25,27.775,-76.3,0.2095711232692944,-0.8594120081656829,0.46591630676734064,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1986-06-06,41.25,1003.5,30.5,-77.8,0.18208559934383067,-0.8421118763527047,0.5075077912037061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1986-06-07,45.0,1000.75,33.15,-76.425,0.1963090364836746,-0.8136549224705276,0.5467660357965006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1986-06-08,41.25,1001.75,37.25,-71.625,0.2501380082134126,-0.7548778071866593,0.6050386712041614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1986-06-23,25.0,1014.0,25.6,-87.2,0.04405431130908604,-0.9007558622275585,0.4320857488019823,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1986-06-24,30.0,1011.0,26.175,-88.65,0.021171104732011118,-0.8971308384652439,0.4411061246000797,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25,0.0
1986-06-25,53.75,1000.25,27.1,-91.3,-0.020157348864303152,-0.8898937344600499,0.4555341280221603,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.75,0.0
1986-06-26,64.0,995.2,29.52,-93.96000000000001,-0.06000331510827635,-0.8679534959405852,0.4926662487023245,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2,0.0
1986-06-27,23.75,1014.0,33.324999999999996,-94.3,-0.06271923449951124,-0.8330171118604698,0.5492806706108848,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1986-06-28,11.666666666666666,1013.0,36.43333333333334,-91.26666666666667,-0.017901441934917058,-0.8041689142234979,0.5938482905903352,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1986-07-23,20.0,-999.0,24.15,-55.5,0.5168120779881296,-0.7519464371543995,0.4091255008404545,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1986-07-24,23.75,-999.0,24.975,-59.35,0.4620413626516158,-0.7796115939728749,0.42221555831389324,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1986-07-25,26.25,-999.0,26.825,-62.724999999999994,0.40894662410388216,-0.7930066283254964,0.4512316599935312,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
